anime_title,anime_link,anime_op_list,anime_ed_list
Re:Zero kara Hajimeru Isekai Seikatsu 2nd SeasonWatch Episode Video,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season,"""Realize"" by Konomi Suzuki","""Realize"" by Konomi Suzuki, ""Memento"" by nonoc"
One PieceWatch Episode Video,https://myanimelist.net/anime/21/One_Piece,"""We Are! (ウィーアー!)"" by Hiroshi Kitadani, ""Believe"" by Folder5, ""Hikari E (ヒカリヘ)"" by The Babystars, ""Bon Voyage!"" by Bon-Bon Blanco, ""Kokoro no Chizu (ココロのちず)"" by BOYSTYLE, ""Brand New World"" by D-51, ""We Are! (ウィーアー! 〜7人の麦わら海賊団篇〜)"" by the Straw Hat Pirates, ""Crazy Rainbow"" by Tackey & Tsubasa, ""Jungle P"" by 5050, ""We Are (ウィーアー! 〜10周年Ver.〜)"" by TVXQ, ""Share the World"" by TVXQ, ""Kaze wo Sagashite (風をさがして)"" by Straw Hat Crew and Mari Yaguchi, ""One Day"" by The Rootless, ""Fight Together"" by Namie Amuro, ""We go! (ウィーゴー!)"" by Hiroshi Kitadani, ""Hands Up!"" by Kouta Shinzato, ""Wake up!"" by AAA, ""Hard Knock Days"" by GENERATIONS from EXILE TRIBE, ""We can! (ウィーキャン!)"" by Kishidan and Hiroshi Kitadani, ""Hope"" by Namie Amuro, ""Super Powers"" by V6, ""OVER THE TOP"" by Hiroshi Kitadani, ""DREAMIN' ON"" by Da-iCE","""memories"" by Maki Otsuki, ""RUN! RUN! RUN!"" by Maki Otsuki, ""Watashi ga iru Yo (私がいるよ)"" by TOMATO CUBE, ""Souchinosuke (しょうちのすけ)"" by Suitei-Shoujo, ""BEFORE DAWN"" by AI-SACHI, ""fish"" by The Kaleidoscope, ""GLORY -Kimi ga iru Kara- (GLORY-君がいるから-)"" by Takako Uehara, ""Shining ray"" by Janne da Arc, ""Family"" by the Straw Hat Pirates, ""Free Will"" by Ruppina, ""FAITH"" by Ruppina, ""A to Z ~One Piece Edition~ (A to Z〜ONE PIECE Edition〜)"" by ZZ, ""Tsuki to Taiyou (月と太陽)"" by shela, ""DREAMSHIP"" by Aiko Ikuta, ""Mirai Koukai (未来航海)"" by Tackey & Tsubasa, ""Eternal Pose (エターナルポーズ)"" by Asia Engineer, ""Dear friends"" by TRIPLANE, ""Asu wa Kurukara (明日は来るから)"" by TVXQ, ""ADVENTURE WORLD"" by Delicatessen, ""One Day"" by The Rootless, ""We go! (ウィーゴー!)"" by Hiroshi Kitadani, ""memories"" by Maki Otsuki"
Kingdom 3rd SeasonWatch Promotional Video,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,"""TOMORROW"" by BiSH","""Deep inside"" by waterweed"
Detective ConanWatch Episode Video,https://myanimelist.net/anime/235/Detective_Conan,"""Mune ga Dokidoki (胸がドキドキ)"" by the High-Lows, ""Feel Your Heart"" by Velvet Garden, ""Nazo (謎)"" by Miho Komatsu (小松未歩), ""Unmei no Roulette Mawashite (運命のルーレット廻して)"" by ZARD, ""Truth"" by Two-Mix, ""Girigiri Chop (ギリギリchop)"" by B'z, ""Mysterious Eyes"" by Garnet Crow, ""Koi wa Thrill, Shock, Suspense (恋はスリル、ショック、サスペンス)"" by Rina Aiuchi, ""Destiny"" by Miki Matsuhashi (松橋未樹), ""Winter Bells"" by Mai Kuraki, ""I can't stop my love for you♥"" by Rina Aiuchi, ""Kaze no Lalala (風のららら)"" by Mai Kuraki, ""Kimi to Yakusoku Shita Yasashii Ano Basho Made (君と約束した優しいあの場所まで)"" by Yuuka Saegusa in db, ""Start"" by Rina Aiuchi, ""Hoshi no Kagayakiyo (星のかがやきよ)"" by ZARD, ""Growing of My heart"" by Mai Kuraki, ""Shoudou (衝動)"" by B'z, ""100 Mono Tobira (100もの扉)"" by Rina Aiuchi & Yuuka Saegusa in db, ""Kumo ni Notte (雲に乗って)"" by Yuuka Saegusa in db, ""Namida no Yesterday (涙のイエスタデー)"" by Garnet Crow, ""Glorious Mind"" by ZARD, ""Ai wa Kurayami no Naka de (愛は暗闇の中で)"" by ZARD, ""Ichibyou goto ni Love for you ( 一秒ごとに Love for you)"" by Mai Kuraki, ""MYSTERIOUS"" by Naifu, ""Revive"" by Mai Kuraki, ""Everlasting Luv"" by BREAKERZ, ""MAGIC"" by Rina Aiuchi, ""As the Dew"" by GARNET CREW, ""SUMMER TIME GONE"" by Mai Kuraki, ""tear drops"" by Caos Caos Caos, ""Don’t Wanna Lie"" by B'z, ""Misty Mystery"" by GARNET CROW, ""Miss Mystery"" by BREAKERZ, ""Kimi no Namida ni Konna ni Koi Shiteru (君の涙にこんなに恋してる)"" by Natsu Iro, ""TRY AGAIN"" by Mai Kuraki, ""Q&A"" by B'z, ""Butterfly Core"" by VALSHE, ""Greed"" by KNOCK OUT MONKEY, ""DYNAMITE"" by Mai Kuraki, ""WE GO"" by BREAKERZ, ""Nazo (謎)"" by La PomPon, ""Hane (羽)"" by Koushi Inaba, ""Sekai wa Anata no Iro ni Naru (世界はあなたの色になる)"" by B'z, ""Ikusen no Meikyuu de Ikusen no Nazo wo Doite (幾千の迷宮で 幾千の謎を解いて)"" by BREAKERZ, ""Lie, Lie, Lie,"" by Maki Ohguro, ""Everything OK!!"" by Cellchrome, ""Countdown (カウントダウン)"" by NormCore, ""Timeline (タイムライン)"" by dps, ""Barairo no Jinsei (薔薇色の人生)"" by Mai Kuraki, ""ANSWER"" by Only this time (Takuto x Miyakawa-kun), ""Makka na Lip (真っ赤なLip)"" by WANDS (eps. 965-???)","""Step by Step"" by Ziggy, ""Meikyuu no Lovers (迷宮のラヴァーズ)"" by heath, ""Hikari to Kage no Roman (光と影のロマン)"" by Keiko Utoko (宇徳敬子), ""Kimi ga Inai Natsu (君がいない夏)"" by DEEN, ""Negai goto Hitotsu Dake (願い事ひとつだけ)"" by Miho Komatsu, ""Koori no Ue ni Tatsu You ni (氷の上に立つように)"" by Miho Komatsu, ""Still for Your Love"" by Rumania Montevideo, ""Free Magic"" by WAG, ""Secret of my heart"" by Mai Kuraki, ""Natsu no Maboroshi (夏の幻)"" by Garnet Crow, ""Start in my life"" by Mai Kuraki, ""always"" by Mai Kuraki, ""Aoi Aoi Kono Chikyuu ni (青い青いこの地球に)"" by Azumi Uehara (上原あずみ), ""Yumemita Ato de (夢みたあとで)"" by Garnet Crow, ""Mushoku (無色)"" by Azumi Uehara, ""Overture"" by Koshi Inaba (稲葉浩志), ""Ashita wo Yumemite (明日を夢見て)"" by ZARD, ""Kimi to iu Hikari (君という光)"" by Garnet Crow, ""Nemuru Kimi no Yokogao ni Hohoemi wo (眠る君の横顔に微笑みを)"" by U-ka saegusa IN db, ""Wasurezaki (忘れ咲き)"" by GARNET CROW, ""June Bride ~Anata shika Mienai~ (ジューンブライド～あなたしか見えない～)"" by U-ka Saegusa, ""Sekai Tomete (世界止めて)"" by Shiori Takei (竹井詩織里), ""Thank You For Everything"" by Iwata Sayuri (岩田さゆり), ""Kanashii hodo Anata ga Suki (悲しいほど貴方が好き)"" by ZARD, ""Mou Kimi dake wo Hanashitari Shinai (もう君だけを離したりはしない)"" by Aya Kamiki (上木彩矢), ""Shiroi Yuki"" by Mai Kuraki, ""I still believe ~Tameiki~ (I still believe～ため息～)"" by Yumi Shizukusa (滴草由実), ""Sekai wa mawaru to iu Keredo (世界はまわると言うけれど)"" by Garnet Crow, ""Yukidoke no Ano Kawa no Nagare no You ni (雪どけのあの川の流れのように)"" by U-ka saegusa IN db, ""Summer Memories"" by Aya Kamiki, ""Go Your Own Way"" by Yumi Shizukusa, ""Koigokoro Kagayaki nagara (恋心輝きながら)"" by Naifu, ""Doing All Right"" by Garnet Crow, ""Hikari (光)"" by BREAKERZ, ""Hello Mr. My Yesterday"" by Hundred Percent Free, ""Tomorrow is the last Time"" by Mai Kuraki, ""Juugoya Crisis ~Kimi ni Aitai~ (十五夜クライシス 君に逢いたい)"" by Hundred Percent Free, ""Tsukiyo no Itazura no Mahou (月夜の悪戯の魔法)"" by BREAKERZ, ""Pilgrim (ピルグリム"") by B'z (eps 627-628, w. Kaito Specials), ""Your Best Friend"" by Mai Kuraki, ""Kanashii hodo Kyou no Yuuhi Kirei dane (悲しいほど 今日の夕陽 きれいだね)"" by grram, ""Overwrite (オーバーライト)"" by BREAKERZ, ""Koi ni Koishite (恋に恋して)"" by Mai Kuraki, ""Hitomi no Melody (瞳のメロディ)"" by BOYFRIEND, ""Kimi no Egao ga Naniyori mo Sukidatta (君の笑顔がなによりも好きだった)"" by Chikago Poodle, ""Ima Aitakute... (いま逢いたくて…)"" by DAIGO, ""Rain Man"" by AKIHIDE, ""Muteki na Heart (無敵なハート)"" by Mai Kuraki, ""Kimi e no Uso (君への嘘)"" by VALSHE, ""Unmei no Roulette Mawashite (運命のルーレット廻して)"" by La PomPon, ""Futari no Byoushou (ふたりの秒針)"" by Takuto (焚吐), ""SAWAGE☆LIFE"" by Mai Kuraki, ""YESTERDAY LOVE"" by Mai Kuraki, ""Yume Monogatari (夢物語)"" by BREAKERZ, ""Togetsugyou ~Kimi Omou~ (渡月橋 〜君 想ふ〜)"" by Mai Kuraki, ""Kamikaze Express (神風エクスプレス)"" by Takuto x Miyakawa-kun (焚吐×みやかわくん), ""Sadame (さだめ)"" by First place, ""Aozolighter"" by Cellchrome, ""Barairo no Jinsei (薔薇色の人生)"" by Mai Kuraki, ""Kimi to Koi no mama de Owarenai Itsumo Yume no mama ja Irarenai (きみと恋のままで終われない いつも夢のままじゃいられない)"" by Mai Kuraki, ""Sissy Sky"" by Airi Miyakawa (宮川愛李), ""Sukoshizutsu Shikushizutsu (少しづつ 少しづつ)"" by SARD UNDERGROUND, ""Hoshiai (星合)"" by all at once (eps 976-???)"
Douluo Dalu: Xiaowu Juebie,https://myanimelist.net/anime/42498/Douluo_Dalu__Xiaowu_Juebie,,
Jujutsu Kaisen (TV)Watch Promotional Video,https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV,"""KAIKAIKITAN"" by Eve","""LOST IN PARADISE"" by ALI ft. AKLO"
Wotaku ni Koi wa Muzukashii OVAWatch Promotional Video,https://myanimelist.net/anime/38349/Wotaku_ni_Koi_wa_Muzukashii_OVA,"""Fiction (フィクション)"" by Sumika","""Kimi no Tonari (キミの隣)"" by halca"
Enen no Shouboutai: Ni no ShouWatch Episode Video,https://myanimelist.net/anime/40956/Enen_no_Shouboutai__Ni_no_Shou,"""SPARK-AGAIN"" by Aimer","""ID"" by Cidergirl"
BanG Dream! Garupa☆Pico: Oomori,https://myanimelist.net/anime/40854/BanG_Dream_Garupa☆Pico__Oomori,,"""Oomori Icchou! Garupa☆Pico (大盛り一丁！ガルパ☆ピコ)""by Kasumi x Ran x Aya x Yukina x Kokoro (香澄×蘭×彩×友希那×こころ)"
Crayon Shin-chan,https://myanimelist.net/anime/966/Crayon_Shin-chan,"""Doubutsuen wa Taihen da"" by Tune's, ""Yume no End wa Itsumo Mezamashi!"" by B.B.Queens (eps 22–57), ""Ora wa Ninkimono"" by Akiko Yajima, ""Bakappo de Go!"" by Akiko Yajima, ""Nenjuu Muchuu ~I Want You~"" by Puppy, ""Tobe Tobe Onei-san"" by Akiko Yajima & Tesshou Genda, ""Dame Dame no Uta"" by Lady Q, Akiko Yajima & Miki Narahashi, ""Pleasure"" by Tomomi Kahala, ""Leisurely De-o!"" by Akiko Yajima, ""Leisurely De-o! ~Crayon Friends 2007 Version~"" by Akiko Yajima and AKB48, ""Hapihapi"" by Becky♪♯,  ""Hey baby!"" by Kumi Kouda, ""T.W.L"" by Kan Jani Eight (関ジャニ∞), ""Kibou Sanmyaku (希望山脈)"" by Watari Rouka wa Shiritai 7 (渡り廊下走り隊7), ""Kimi ni 100 Percent (キミに100パーセント)"" by Kyary Pamyu Pamyu, ""Ora wa Ninki Mono - 25th MIX - (オラはにんきもの - 25th MIX -)"" by Shinnosuke Nohara (Akiko Yajima) and Misae Nohara (Miki Narahashi), ""Muscat"" by Yuzu (eps 970-?)","""Uta wo Utaou"" by Daiji-Man Brothers Band, ""Sunao ni Naritai"" by Hiromi Yonemura, ""Do-shite"" by Sakurakko Club - Sakura-kumi, ""Reggae"" by Kotone, ""Party Join Us Daisakusen"" by Maron Koushaku & Akiko Yajima, ""Shin-chan Ondo"" by Haruo Minami & Akiko Yajima, ""Boys Be Brave ~Shounen yo Yuuki wo Mote~"" by Aki Okui, ""Tsukiakari Funwari Ochitekuru Yoru"" by Nanami Ogawa, ""Suki Suki - My Girl"" by L'luvia, ""Ora wa Ninkimono"" by Akiko Yajima, Keiji Fujiwara & Miki Narahashi, ""Sayonara Arigatou"" by Sachiko Kobayashi, ""Kyou wa Date"" by Kamaboko, ""Genki de Ite ne"" by Sachiko Kobayashi, ""Zentaiteki ni Daisuki Desu."" by Sheki-Dol, ""Nichuu no Fantasy ~Taiiku wo Yasumi Onna no Ko Hen~"" by Dance Man, ""Mama to no O-yakusoku Joukou no Uta"" by Akiko Yajima & Miki Narahashi, ""Konna Toki ni Koso Yakiniku ga Aru"" by the Nohara Family All Stars, ""OLA!!"" by Yuzu"
